timestamp,message_id,conversation_id,agent_id,performative,protocol,sender,receivers,content,ontology,language
2026-05-15T09:08:19.107293,9c3470c0-503d-11f1-9b27-fdf2b1da3086,9c346dbe-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Nueva subida de impuestos anunciada"", ""source"": ""El Mundo"", ""is_fake"": true, ""confidence"": 0.72, ""timestamp"": ""2026-05-15T09:08:16.910447""}",fake_news_ontology,
2026-05-15T09:08:26.913230,9f2f824c-503d-11f1-9b27-fdf2b1da3086,9f2f801c-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Descubren agua en Marte"", ""source"": ""Twitter"", ""is_fake"": true, ""confidence"": 0.84, ""timestamp"": ""2026-05-15T09:08:21.911322""}",fake_news_ontology,
2026-05-15T09:08:29.591917,a22b5732-503d-11f1-9b27-fdf2b1da3086,a22b54da-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""El caf\u00e9 prolonga la vida, seg\u00fan nuevo estudio"", ""source"": ""New York Times"", ""is_fake"": true, ""confidence"": 0.79, ""timestamp"": ""2026-05-15T09:08:26.917163""}",fake_news_ontology,
2026-05-15T09:08:35.058558,a52657e8-503d-11f1-9b27-fdf2b1da3086,a5265590-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Descubren agua en Marte"", ""source"": ""Twitter"", ""is_fake"": false, ""confidence"": 0.75, ""timestamp"": ""2026-05-15T09:08:31.917580""}",fake_news_ontology,
2026-05-15T09:08:40.595127,a82228a0-503d-11f1-9b27-fdf2b1da3086,a8222634-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Im\u00e1genes exclusivas del nuevo iPhone 20"", ""source"": ""Twitter"", ""is_fake"": false, ""confidence"": 0.75, ""timestamp"": ""2026-05-15T09:08:36.923312""}",fake_news_ontology,
2026-05-15T09:08:44.821034,ab1d1fce-503d-11f1-9b27-fdf2b1da3086,ab1d1e34-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""La inteligencia artificial reemplazar\u00e1 a los programadores"", ""source"": ""Facebook"", ""is_fake"": true, ""confidence"": 0.8, ""timestamp"": ""2026-05-15T09:08:41.923519""}",fake_news_ontology,
2026-05-15T09:08:51.557947,ae188722-503d-11f1-9b27-fdf2b1da3086,ae1884ca-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Nueva subida de impuestos anunciada"", ""source"": ""WhatsApp"", ""is_fake"": true, ""confidence"": 0.85, ""timestamp"": ""2026-05-15T09:08:46.926529""}",fake_news_ontology,
2026-05-15T09:08:56.424339,b113842c-503d-11f1-9b27-fdf2b1da3086,b1138210-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""Nueva subida de impuestos anunciada"", ""source"": ""WhatsApp"", ""is_fake"": false, ""confidence"": 0.92, ""timestamp"": ""2026-05-15T09:08:51.926857""}",fake_news_ontology,
2026-05-15T09:09:01.837620,b40f3fa4-503d-11f1-9b27-fdf2b1da3086,b40f3be4-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""La inteligencia artificial reemplazar\u00e1 a los programadores"", ""source"": ""WhatsApp"", ""is_fake"": false, ""confidence"": 0.73, ""timestamp"": ""2026-05-15T09:08:56.932009""}",fake_news_ontology,
2026-05-15T09:09:03.979802,b70a45b4-503d-11f1-9b27-fdf2b1da3086,b70a4366-503d-11f1-9b27-fdf2b1da3086,gui_agent_2000@localhost:2000,inform,,mock_agent_3000@localhost:3000,gui_agent_2000@localhost:2000,"{""title"": ""La inteligencia artificial reemplazar\u00e1 a los programadores"", ""source"": ""Facebook"", ""is_fake"": true, ""confidence"": 0.79, ""timestamp"": ""2026-05-15T09:09:01.932598""}",fake_news_ontology,
